1 171.825 79.6991  1 127.153 385.269  1 127.153 385.269 
1 133.649 85.0179  1 144.339 337.042  1 144.339 337.042 
1 45.7015 137.277  1 57.102 395.848  1 57.102 395.848 
1 140.059 107.295  1 99.9326 406.508  1 99.9326 406.508 
1 18.3694 221.405  1 150.389 359.564  1 150.389 359.564 
1 55.3578 185.16  1 183.745 337.6  1 183.745 337.6 
1 229.177 74.2213  1 29.6585 469.411  1 29.6585 469.411 
1 268.221 40.4539  1 64.3462 432.029  1 64.3462 432.029 
1 99.4372 200.01  1 100.529 458.407  1 100.529 458.407 
1 149.68 144.062  1 126.132 425.646  1 126.132 425.646 
1 178.175 151.625  1 186.553 396.64  1 186.553 396.64 
1 205.117 104.845  1 222.545 358.121  1 222.545 358.121 
1 88.6529 147.865  1 241.416 320.998  1 241.416 320.998 
1 115.505 133.341  1 277.487 284.378  1 277.487 284.378 
2.10535e-314 1.66939e-308 1.11031e-307  1 162.454 385.424  1 162.454 385.424 
